framenum	queue density		dynamic density
957		0.886676		0.0096648
958		0.886641		0.00374184
959		0.886461		0.0252564
960		0.88684		0.00639898
961		0.886258		0.00938777
962		0.886711		0.0110929
963		0.886832		0.00116664
964		0.887015		0.0111085
965		0.88723		0.0129228
966		0.887394		0.00186507
967		0.887273		0.0040813
968		0.886746		0.00659017
969		0.886664		0.00303561
970		0.886633		0.0064536
971		0.886438		0.0146669
972		0.886496		0.00747198
973		0.88657		0.014148
974		0.886621		0.0174255
975		0.886547		0.0182059
976		0.885759		0.0164501
977		0.885138		0.020824
978		0.88453		0.0213039
979		0.884233		0.0999723
980		0.878455		0.0600177
981		0.878821		0.0447772
982		0.879754		0.0424439
983		0.879137		0.0417572
984		0.879485		0.0358967
985		0.879812		0.0251862
986		0.880136		0.0173124
987		0.880156		0.0152054
988		0.880792		0.0136993
989		0.881334		0.00956725
990		0.881709		0.011405
991		0.883078		0.00961407
992		0.883507		0.012162
993		0.883905		0.0107885
994		0.884327		0.0109212
995		0.884097		0.0145148
996		0.88405		0.0122244
997		0.884296		0.0107963
998		0.884393		0.0116625
999		0.884666		0.0152444
1000		0.884811		0.014862
1001		0.88554		0.0177884
1002		0.885579		0.0154707
1003		0.885782		0.0214795
1004		0.885677		0.311544
1005		0.881322		0.0246478
1006		0.881869		0.0139919
1007		0.882165		0.0299152
1008		0.882454		0.0134964
1009		0.882669		0.00955554
1010		0.882563		0.0593856
1011		0.879988		0.0337078
1012		0.88071		0.0322407
1013		0.881104		0.0180771
1014		0.881486		0.0130945
1015		0.881697		0.0189316
1016		0.88151		0.0214288
1017		0.881276		0.0260524
1018		0.881537		0.0261656
1019		0.881791		0.02432
1020		0.881841		0.0174645
1021		0.882356		0.0196847
1022		0.882481		0.00186897
1023		0.882368		0.0119981
1024		0.882571		0.0155019
1025		0.882505		0.0207928
1026		0.882228		0.0138553
1027		0.882669		0.00783094
1028		0.882528		0.000827185
1029		0.882657		0.000448709
1030		0.882684		0.00526355
1031		0.882692		0.00584882
1032		0.882883		0.0160677
1033		0.883347		0.011046
1034		0.883254		0.0122946
1035		0.883067		0.00557569
1036		0.881545		0.0010691
1037		0.88181		0.000889614
1038		0.882044		3.12145e-05
1039		0.881857		0.00180654
1040		0.882193		0.0258144
1041		0.882415		0.0258807
1042		0.882657		0.0342579
1043		0.88247		0.026786
1044		0.882392		0.0263294
1045		0.882138		0.0240703
1046		0.88231		0.0233992
1047		0.882505		0.0253111
1048		0.882337		0.0271215
1049		0.882317		0.0288578
1050		0.882688		0.0292051
1051		0.88291		0.0274766
1052		0.882891		0.0188028
1053		0.883164		0.0138631
1054		0.883663		0.0181786
1055		0.883589		0.0225174
1056		0.883941		0.0244839
1057		0.883546		0.0177884
1058		0.883902		0.0215185
1059		0.884401		0.0198915
1060		0.88476		0.0264972
1061		0.879594		0.0169963
1062		0.880308		0.019154
1063		0.880456		0.00789337
1064		0.880086		0.0156073
1065		0.880148		0.0144211
1066		0.880218		0.00555228
1067		0.880359		0.0112021
1068		0.880585		0.015022
1069		0.880643		0.00804944
1070		0.880764		0.0170275
1071		0.880901		0.0168988
1072		0.880448		0.0113426
1073		0.881322		0.0152912
1074		0.881041		0.00953994
1075		0.881248		0.00621949
1076		0.881276		0.00916536
1077		0.881482		0.00921999
1078		0.881463		0.007948
1079		0.881354		0.0167076
1080		0.88151		0.00910293
1081		0.881451		0.0128565
1082		0.881143		0.0175504
1083		0.881174		0.0187521
1084		0.881346		0.0190213
1085		0.881311		0.0666274
1086		0.881662		0.0176362
